,iid,age,dominant_race,dominant_emotion
0,4875,31,white,happy
1,4876,31,white,neutral
2,4877,32,white,happy
3,4878,30,white,neutral
4,4879,28,white,happy
5,4880,29,white,neutral
6,4881,32,white,neutral
7,4882,33,white,happy
8,3228,30,black,happy
9,3229,30,black,happy
10,3231,28,black,happy
11,3232,25,black,happy
12,3233,26,black,neutral
13,3234,26,black,happy
14,3236,31,black,happy
15,3237,27,latino hispanic,happy
16,3238,32,black,happy
17,3239,32,black,happy
18,3240,24,black,happy
19,3241,30,black,happy
20,3242,30,black,happy
21,3243,26,black,happy
22,3244,27,indian,happy
23,297,25,white,neutral
24,300,30,white,angry
25,6726,30,white,neutral
26,6727,31,middle eastern,happy
27,6728,29,white,happy
28,6729,32,white,happy
29,6730,31,white,happy
30,6731,33,white,happy
31,6732,33,white,sad
32,6733,30,white,happy
33,6734,32,white,neutral
34,6735,32,latino hispanic,happy
35,2654,40,white,neutral
36,1538,30,white,happy
37,1539,33,white,happy
38,1540,27,white,neutral
39,1542,29,white,happy
40,6736,23,white,neutral
41,6737,22,white,happy
42,6738,24,white,happy
43,6739,24,latino hispanic,angry
44,6740,23,white,happy
45,6741,24,white,happy
46,6742,41,middle eastern,neutral
47,6744,27,white,sad
48,6745,34,white,happy
49,6747,26,latino hispanic,happy
50,6749,32,indian,sad
51,6750,34,asian,happy
52,1300,39,white,happy
53,1301,42,white,happy
54,1304,36,white,happy
55,1305,39,white,neutral
56,1306,41,white,happy
57,1307,33,white,happy
58,1308,37,white,neutral
59,1309,30,white,happy
60,1310,32,white,happy
61,1311,40,white,happy
62,6751,28,white,happy
63,6752,37,white,neutral
64,6753,47,white,angry
65,6754,31,white,happy
66,6755,26,middle eastern,happy
67,6756,30,white,neutral
68,6757,44,white,happy
69,6758,47,white,happy
70,6759,31,asian,angry
71,6760,39,white,happy
72,6761,35,white,neutral
73,6762,37,white,happy
74,6763,25,latino hispanic,happy
75,6764,44,white,happy
76,6765,46,white,happy
77,6766,26,white,happy
78,4124,23,white,disgust
79,4125,28,white,happy
80,4126,28,white,happy
81,4128,28,white,happy
82,1889,22,white,happy
83,1890,26,white,neutral
84,6767,23,white,happy
85,6768,23,white,happy
86,6769,23,white,happy
87,6770,23,white,neutral
88,6771,27,white,happy
89,6772,27,latino hispanic,neutral
90,6773,23,latino hispanic,happy
91,6774,31,white,angry
92,3902,23,white,happy
93,3903,24,asian,happy
94,3905,26,latino hispanic,happy
95,3906,29,white,happy
96,1506,32,white,happy
97,1507,33,white,happy
98,1508,32,white,happy
99,1509,31,white,neutral
100,3245,33,black,happy
101,3246,27,indian,sad
102,3247,24,black,happy
103,3248,26,black,happy
104,3250,33,asian,sad
105,3251,23,indian,sad
106,4146,29,white,sad
107,4148,20,white,happy
108,4149,21,white,happy
109,1002,34,white,happy
110,1005,28,latino hispanic,angry
111,1006,24,white,neutral
112,100,32,latino hispanic,happy
113,101,28,indian,happy
114,94,30,white,happy
115,95,24,white,neutral
116,96,31,white,happy
117,97,23,white,happy
118,98,36,white,happy
119,99,30,white,neutral
120,3701,31,white,angry
121,3702,28,white,happy
122,3703,27,white,happy
123,3704,31,white,happy
124,3705,25,white,happy
125,3706,38,white,happy
126,2834,36,white,happy
127,2835,30,white,happy
128,2836,23,white,happy
129,2837,33,white,happy
130,2838,25,white,happy
131,1825,29,white,happy
132,1826,24,white,happy
133,1827,26,middle eastern,happy
134,1828,32,white,happy
135,1829,26,white,happy
136,1830,24,white,happy
137,6775,47,indian,happy
138,6776,37,indian,sad
139,6777,45,indian,sad
140,6778,44,indian,happy
141,6779,35,latino hispanic,neutral
142,6780,38,indian,happy
143,6781,47,middle eastern,neutral
144,1027,31,white,happy
145,1029,31,latino hispanic,happy
146,3119,40,white,neutral
147,3120,34,white,happy
148,3121,36,white,neutral
149,3122,42,asian,neutral
150,3123,34,white,happy
151,3124,30,white,happy
152,3125,37,white,happy
153,3126,32,white,happy
154,3127,31,white,neutral
155,3128,28,white,sad
156,3129,30,white,neutral
157,3131,29,white,happy
158,3132,27,white,neutral
159,3133,42,asian,neutral
160,3252,32,black,happy
161,3253,36,black,happy
162,3254,35,black,happy
163,3255,36,black,happy
164,3256,36,black,happy
165,3258,35,black,happy
166,3259,30,black,happy
167,3260,35,black,sad
168,3261,36,black,sad
169,3262,33,black,happy
170,3263,34,black,happy
171,3264,34,black,happy
172,3265,32,black,happy
173,3266,33,black,happy
174,3267,32,black,fear
175,3268,26,black,neutral
176,3269,37,black,happy
177,3270,33,black,happy
178,3271,36,black,happy
179,3713,31,white,happy
180,3714,30,white,happy
181,3715,29,white,happy
182,3716,33,white,happy
183,3717,33,white,happy
184,3718,31,white,happy
185,3719,32,white,happy
186,3628,41,indian,happy
187,3630,22,white,happy
188,3631,30,white,happy
189,3632,33,white,neutral
190,4517,31,white,fear
191,4518,30,white,neutral
192,4520,28,white,happy
193,4521,32,white,neutral
194,4522,31,white,happy
195,4523,30,white,neutral
196,4524,31,white,neutral
197,4525,25,white,neutral
198,2013,28,latino hispanic,neutral
199,2018,24,latino hispanic,happy
200,2019,29,white,happy
201,2020,27,latino hispanic,happy
202,2021,25,latino hispanic,neutral
203,2022,31,latino hispanic,neutral
204,933,27,white,fear
205,935,25,white,sad
206,936,29,white,angry
207,937,29,white,neutral
208,938,24,white,neutral
209,940,32,white,happy
210,2939,27,white,neutral
211,6782,23,white,happy
212,6783,24,white,happy
213,6784,23,white,happy
214,6785,22,white,neutral
215,6786,26,white,happy
216,6787,22,white,happy
217,6788,23,white,happy
218,6789,23,white,neutral
219,6790,25,white,sad
220,6791,23,white,happy
221,6792,24,white,happy
222,6793,23,white,happy
223,6794,22,white,neutral
224,6795,26,white,happy
225,3194,35,white,happy
226,3195,42,white,neutral
227,3196,38,white,happy
228,3197,44,white,happy
229,3198,35,asian,happy
230,3199,39,latino hispanic,happy
231,3200,37,asian,happy
232,6796,29,middle eastern,happy
233,6797,31,indian,happy
234,6798,31,white,happy
235,6799,30,indian,happy
236,6800,32,latino hispanic,happy
237,6801,32,white,neutral
238,6802,30,middle eastern,happy
239,6803,25,white,neutral
240,6804,29,white,happy
241,6805,26,white,sad
242,6806,24,white,neutral
243,6807,25,white,neutral
244,6808,25,white,neutral
245,6809,25,white,neutral
246,6810,25,white,neutral
247,6811,24,white,neutral
248,1532,30,white,sad
249,1533,24,white,happy
250,1535,25,white,neutral
251,1537,26,white,angry
252,3940,36,white,happy
253,3941,37,white,happy
254,3943,33,white,sad
255,3961,29,white,happy
256,3962,35,white,happy
257,3963,41,white,neutral
258,3964,34,white,happy
259,3965,32,white,happy
260,1847,22,white,happy
261,1848,25,latino hispanic,neutral
262,1849,31,latino hispanic,happy
263,1850,29,white,happy
264,1854,30,latino hispanic,neutral
265,1856,23,white,happy
266,6815,31,white,fear
267,6816,40,middle eastern,neutral
268,6817,25,latino hispanic,neutral
269,6818,31,latino hispanic,happy
270,6820,29,white,neutral
271,6822,29,white,angry
272,6823,25,white,neutral
273,6824,27,white,happy
274,6825,24,white,neutral
275,6826,27,white,happy
276,6827,30,white,happy
277,6828,29,white,neutral
278,6829,24,white,neutral
279,6830,27,white,happy
280,2977,23,white,neutral
281,2978,23,white,happy
282,2979,23,white,happy
283,2980,23,latino hispanic,happy
284,6831,46,latino hispanic,angry
285,6832,52,latino hispanic,fear
286,6833,44,white,happy
287,6834,47,middle eastern,angry
288,6835,50,white,angry
289,6836,51,middle eastern,sad
290,6837,45,white,happy
291,6838,29,white,happy
292,6840,30,white,happy
293,6841,27,asian,happy
294,6842,27,white,neutral
295,6843,26,white,neutral
296,6844,31,white,happy
297,6845,34,white,neutral
298,6846,26,white,happy
299,6847,30,white,happy
300,6848,28,white,happy
301,6849,34,white,happy
302,6850,38,white,happy
303,6851,41,white,happy
304,2982,29,white,happy
305,2984,31,white,happy
306,2985,26,white,happy
307,2987,26,white,happy
308,2988,29,white,happy
309,2989,24,white,happy
310,5041,30,black,neutral
311,5042,29,black,neutral
312,5043,32,asian,neutral
313,5044,30,black,neutral
314,5045,33,black,happy
315,5046,30,black,neutral
316,6853,23,middle eastern,neutral
