,path,embedding
0,../../datasets/fr/Family_64/sistine_rose_stallone_daughter/sistine_rose_stallone13_0.jpg,"[-0.3756404155590361, -0.026016247970465846, 0.055768428842061284, 0.2455812292204995, -0.11087680958004709, 0.413486988474853, -0.08420418329898058, -0.029694006705942418, -0.09683392789744266, -0.3086004746213535, 0.05070609570906661, -0.0988235305128107, 0.13274166794154899, -0.05973424582964889, -0.14231165621995645, -0.1351042702652979, -0.027480168396601962, -0.07719417733322329, -0.28865774858297993, 0.07800715588730794, -0.04695714374577147, 0.2831021131045548, 0.1903682163852671, -0.007046484294966019, -0.14206575326170415, -0.06843569504657125, -0.10468805679488899, -0.09754217340060202, -0.08334608824362501, -0.017717178315928284, -0.18983303766984572, 0.06370935540366017, 0.05899622485382365, 0.08578756358297712, 0.19509138990878638, -0.07715278125316719, -0.03965179734180452, 0.007764676248632406, -0.10412804442300107, 0.04180027090237746, 0.01916200097605975, -0.047867539127933276, 0.0690704249517572, -0.05310387482892533, -0.004430097445043874, -0.023365284369076384, -0.045197679944820206, 0.09978283828406857, -0.010626176464693441, -0.0008889562225892865]"
1,../../datasets/fr/Family_64/sistine_rose_stallone_daughter/sistine_rose_stallone4.jpg,"[-0.47782874743187215, -0.06247094741173377, -0.1090753177184713, 0.16541497424630935, -0.1874328900576538, 0.3924448913792038, -0.09204263798648223, -0.04696155664416072, -0.10325378552781829, -0.20596038104780023, -0.05293674135577167, -0.23065308310406782, 0.188438138834579, -0.12962453412520433, -0.11230579059985081, -0.044271937557016444, 0.03425806209835415, 0.0038782282724125665, -0.30745151557984135, -0.038146343667533465, -0.0004750210093113632, 0.1521023318266511, 0.08133294118482967, 0.037828520358612526, -0.16620791885368785, -0.09847518123960677, -0.18741166165493972, -0.03161725484020493, 0.11738539202979804, -0.032313689320966475, -0.13375444576676082, 0.062267127821283436, -0.09301652944137037, -0.0347916383816692, -0.04030534020819584, 0.07015828648399286, 0.07521772965375446, 0.11124191379285985, -0.0517872924777118, 0.105615721601908, -0.04848557246817272, -0.02131054624527731, 0.08362818787330394, -0.06849270712445633, -0.15002783564920177, 0.05382252896794662, -0.039009397153727546, 0.08719957123354882, -0.06423901640532659, -0.001140350360274138]"
2,../../datasets/fr/Family_64/sistine_rose_stallone_daughter/sistine_rose_stallone11.jpg,"[-0.4691206315984687, 0.06932696590535986, 0.012608600729376515, 0.12898824538987783, -0.3252137032920336, 0.43285308026571695, -0.10826408637841833, -0.0428975913456974, 0.023754401122835906, -0.14772000722498058, 0.06378949861458809, -0.1255801697451164, 0.08596438521286885, -0.09506560940533434, -0.14989270843115066, 0.01765646125819435, 0.06299672005351938, -0.06761684038186702, -0.33453143447030664, -0.06065146652270106, -0.0354556669809017, 0.1511858586735925, 0.08059025834877863, -0.038812025511654843, -0.2846721840842046, -0.06743841577508576, -0.06474038879785574, -0.07697803656478641, -0.042677303074545765, -0.01718052842734133, -0.184809727027307, 0.11955526689847859, 0.02022559080039715, -0.022806976340463705, 0.0018837237873438445, -0.006507672722075048, 0.0713784330440928, 0.06897634546032977, -0.09053299699527984, -0.07667119705779996, -0.10571570846447553, -0.0174764562733272, 0.0057219547984819746, -0.06647552656503349, 0.051191206842091226, 0.06164009638727454, -0.06598456215188625, 0.037465071485136364, -0.07667284910563642, 0.0005882876677502762]"
3,../../datasets/fr/Family_64/sistine_rose_stallone_daughter/sistine_rose_stallone2.jpg,"[-0.4981212388795852, 0.004834548371425216, 0.11036517130093593, 0.1271930447499248, -0.11764281755529137, 0.3937645457224459, 0.003178575780088678, -0.16222522444907847, -0.2554125368977115, -0.13309307276800028, -0.015362837791343098, -0.11916911241186824, 0.06983120328472522, -0.0491824323482509, -0.21858163246211054, -0.0028408909769840483, 0.007734307534923075, 0.049576820924572364, -0.28591042525682536, -0.04138840541540007, -0.028625338583535047, 0.02033989954500659, 0.1136821074978131, 0.09325000348674907, -0.15899199212825277, -0.27439114253453073, -0.12093047317614239, 0.020187849412439295, -0.12562211937190768, 0.013314468840988145, -0.2009414972698684, -0.03876953682874185, 0.11812289034715305, 0.045308398448517605, -0.0017581403026199894, -0.10765331686072462, -0.003998638354060137, 0.04441225060596668, -0.12438316229731776, 0.09702800550596029, -0.0483674303939557, -0.0705596853880019, 0.10440695798167461, 0.03789645536570432, 0.009322769426149239, 0.008114123767396005, 0.01873636697633605, 0.12218174298620835, -0.04205356286603438, 0.000728666107320649]"
4,../../datasets/fr/Family_64/sistine_rose_stallone_daughter/sistine_rose_stallone5.jpg,"[-0.41143321190234905, 0.052213606963123715, -0.04383758953344992, 0.03816346650959845, -0.21143562297752075, 0.5535700239785933, -0.022976047991985275, -0.10680963492825819, -0.03894538225891175, -0.00980863307728985, 0.033698162888192974, -0.2535986929574602, 0.009554406081100947, -0.13868408876121, -0.1687268143451467, -0.063790060424747, 0.2283795734478847, -0.05253665344073765, -0.3276122907254556, -0.025520356740294237, 0.09944995829495461, 0.07136018622928986, 0.14096545971576702, 0.0531975955554504, -0.06498387260265505, -0.12026213640575016, -0.040944015392929724, -0.006810452334047108, -0.036682475872699814, -0.019448221341800607, 0.0015040736679117184, -0.021966318331795368, 0.056855695553996825, -0.0021916870082845006, -0.0042675548006562, 0.015583065214260056, 0.16735439997845653, -0.03423511238407323, -0.15997122095486277, 0.052635847874591614, -0.10637748446556555, -0.059248647796576764, 0.07262412288284945, -0.050533364744835205, 0.015260677265321442, 0.02907192718046606, -0.028946612141584147, 0.051661980179990984, -0.09377203806345433, -6.021463666494511e-05]"
5,../../datasets/fr/Family_64/sistine_rose_stallone_daughter/sistine_rose_stallone15.jpg,"[-0.44531592535923703, 0.09502265225383211, -0.06810093814628501, 0.15192021000252237, -0.2762675061163292, 0.4112242589518594, 0.02383770779677712, -0.06495018485139917, -0.09444908339288878, -0.04146280057437011, -0.03154752646863092, -0.20255451069830196, 0.1525868814691739, -0.03818076452034927, -0.08203807017492482, 0.07382338237090896, 0.07681694716986402, -0.055292586616126134, -0.2623554389528539, 0.08641717967163803, -0.09013388935517627, 0.13773623150415287, 0.10354810266229113, -0.0018694989222780222, -0.18160266611728781, -0.22580777908037708, -0.04127425557576037, -0.13670508354180216, -0.06570397060190582, -0.07109648514511792, -0.17835545360577135, 0.07421690207997356, 0.06768007526409381, -0.10185534490484358, -0.034588206148584856, 0.011607115843286747, 0.07283628009740985, 0.019452006691235292, -0.20591332423565722, -0.030455852278713384, -0.11804976862725018, -0.0033650529395589748, 0.06342948039966335, -0.062175728229308974, 0.09529242280252885, 0.03732413233360189, -0.047413157040590764, 0.014121731398541292, -0.030015731547895313, -0.0007017544362943999]"
6,../../datasets/fr/Family_64/sistine_rose_stallone_daughter/sistine_rose_stallone8.jpg,"[-0.4825596361513559, 0.14027066850786515, 0.05273860043745007, -0.000127982090134704, -0.2856269110859519, 0.37814138178807033, 0.175705532871884, -0.09511043700999304, -0.083159983264776, -0.09551323486986625, 0.009981518655338353, 0.005015820899035133, -0.000859175673656943, -0.08461312404941942, -0.2209109095651213, 0.06698058205200835, 0.1432700671640783, -0.14833870108106173, -0.2697898791088212, 0.0641364659167736, 0.061796548637791125, 0.1365089101626739, 0.0001287231983799725, -0.02841925640017173, -0.23246846216377215, -0.12578669337760992, 0.019684822855666806, 0.02087522244048133, -0.011430946168156734, -0.057929770304661066, -0.27063903687320334, 0.011543345788810335, 0.1019010445432999, 0.05249778068919071, 0.05674334470802144, -0.034681774709713495, 0.07749064206553076, 0.05536620990229695, -0.11412353443120013, -0.053648773784914436, -0.007543983067109385, -0.03285051726197976, 0.1181605518586124, -0.09205937802269477, 0.03982881240921571, 0.09284175775650277, -0.05774478972770073, 0.08230845342103994, -0.022165227154050914, -0.0019532079538630903]"
7,../../datasets/fr/Family_64/sylvester_stallone_father/sylvester_stallone4.jpg,"[-0.06277326299713468, 0.06271609074859529, -0.07123403480646943, 0.07900188246644646, -0.006975094452868481, -0.10693989467481888, 0.03522668906049529, -0.386911053333985, 0.31056353541819903, -0.2830451025710587, -0.0109013207259713, 0.14507879831129558, -0.193108412784605, -0.2005972589706896, 0.08126766948549523, -0.06779386157142397, 0.17509471430068213, 0.03845235764613497, 0.04995653592309714, -0.012351155748337119, -0.022289210963368215, -0.06751820144385837, 0.21249678826499346, 0.11175088471360989, -0.20240400602325515, 0.011622910765491153, -0.053941712827199034, 0.13420232835562454, 0.1596370166647396, 0.024233082293760613, -0.08814493030971578, 0.19810721594470876, 0.2753561159406735, -0.12849461974241216, 0.1997767614823662, 0.010967388012557538, -0.08336430690788219, -0.0664721127015126, 0.1369579488039245, 0.08954946588460318, 0.013922750900165782, -0.026231648103009562, 0.04873370064855138, 0.058418330129401314, 0.04206145535237328, -0.006808977388626807, 0.061460306734792775, -0.2732868358356579, -0.13121952789803432, -0.00021407932119200967]"
8,../../datasets/fr/Family_64/sylvester_stallone_father/sylvester_stallone8.jpg,"[-0.0034893173425152102, -0.046254989412219415, -0.14893002727766155, 0.09712540982362274, 0.10803116406703508, -0.11615565348021917, 0.09851482379210943, -0.21460989968249078, 0.3004728798805761, -0.10684297596049504, -0.02565894570345644, 0.3485508163711644, -0.12929526231705032, -0.17632839394399405, 0.1799546644508725, -0.0739698969537813, 0.1860797244795196, -0.22945915637061448, -0.047719385654141605, 0.1258002087383762, -0.04855604797129553, -0.12523228539213924, 0.19578407029885872, 0.05517078598721458, -0.2866001073399004, -0.03463553150980528, -0.19107941960547747, 0.2191684827258895, 0.17797248756739026, 0.01072185462547975, 0.016556678377592025, 0.06583846856225987, 0.2533301843253925, -0.02629710025701186, 0.022772680668508134, -0.15513023721167563, 0.04889499310568307, -0.14427820997410654, 0.10429144639556612, 0.10326824840424403, 0.03064482790395295, -0.028620275881505522, 0.1031900345818448, 0.04976542050607639, -0.05326232480415237, -0.005541075920614184, -0.09294915543406694, -0.1472347804721403, -0.03838215498199103, -0.0008997476821722108]"
9,../../datasets/fr/Family_64/sylvester_stallone_father/sylvester_stallone5.jpg,"[-0.06052091958524949, 0.019873436947377875, -0.09592193725606644, 0.12991908374862768, 0.05194838732301833, -0.022950059642845643, 0.014473913848995412, -0.2524223736289814, 0.26256546125860014, -0.20134367672177017, -0.06826622798835387, 0.31562840134958703, -0.2189502823749284, -0.306969640945475, 0.027199564133744445, -0.1780163611992905, 0.12577479977262476, -0.01158691253018694, -0.07045456357151715, 0.13370300080500835, -0.09984563852949434, -0.14369465274396653, 0.15732418781642435, 0.029842895853762305, -0.2815952150847691, 0.05831009592156339, -0.07983567764199094, 0.15785102262492337, 0.09438791393103557, 0.13803051100409824, -0.011949904933775301, 0.21231257240218374, 0.22971713815113884, -0.07804761421625804, 0.050904464480119524, -0.16544526588027542, 0.0923241165308765, -0.22667491067293605, 0.09443495813455699, 0.10527812854920368, 0.09848127725237987, 0.024908146193008324, -0.01554837804335663, -0.105616064809946, 0.0057373704159769025, -0.11106428285312768, 0.02206314504724877, -0.08430158594862841, -0.13032747972869962, 0.0022631672679634]"
