iid,pid,path
2,669,./datasets/ibb/8-2.png
3,669,./datasets/ibb/8-3.png
4,669,./datasets/ibb/8-4.png
6,1066,./datasets/ibb/9-1.png
7,1066,./datasets/ibb/9-2.png
9,1066,./datasets/ibb/9-4.png
10,1066,./datasets/ibb/9-5.png
11,1066,./datasets/ibb/9-6.png
13,650,./datasets/ibb/6-1.png
14,650,./datasets/ibb/6-2.png
15,650,./datasets/ibb/6-3.png
17,650,./datasets/ibb/6-5.png
18,166,./datasets/ibb/10-1.png
22,166,./datasets/ibb/10-5.png
23,143,./datasets/ibb/12-1.png
24,143,./datasets/ibb/12-2.png
26,143,./datasets/ibb/12-4.png
27,143,./datasets/ibb/12-5.png
28,143,./datasets/ibb/12-6.png
29,143,./datasets/in/Family_3/Sirikit_mother/Sirikit1.jpg
30,143,./datasets/in/Family_3/Sirikit_mother/Sirikit2.jpg
31,143,./datasets/in/Family_3/Sirikit_mother/Sirikit3_0.jpg
32,143,./datasets/in/Family_3/Sirikit_mother/Sirikit4_0.jpg
33,143,./datasets/in/Family_3/Sirikit_mother/Sirikit5_0.jpg
34,859,./datasets/fr/Family_85/ADULYADEJ_BHUMIBOL_father/ADULYADEJ_BHUMIBOL1.jpg
35,859,./datasets/fr/Family_85/ADULYADEJ_BHUMIBOL_father/ADULYADEJ_BHUMIBOL14.jpg
36,859,./datasets/fr/Family_85/ADULYADEJ_BHUMIBOL_father/ADULYADEJ_BHUMIBOL4.jpg
37,859,./datasets/fr/Family_85/ADULYADEJ_BHUMIBOL_father/ADULYADEJ_BHUMIBOL5.jpg
38,859,./datasets/fr/Family_85/ADULYADEJ_BHUMIBOL_father/ADULYADEJ_BHUMIBOL6.jpg
39,859,./datasets/fr/Family_85/ADULYADEJ_BHUMIBOL_father/ADULYADEJ_BHUMIBOL7.jpg
40,859,./datasets/fr/Family_85/ADULYADEJ_BHUMIBOL_father/ADULYADEJ_BHUMIBOL8.jpg
41,859,./datasets/ibb/17-1.png
43,859,./datasets/ibb/17-3.png
45,859,./datasets/ibb/17-5.png
46,859,./datasets/ibb/17-6.png
48,859,./datasets/in/Family_3/Adulyadej Bhumibol_father/Adulyadej Bhumibol1.jpeg
49,859,./datasets/in/Family_3/Adulyadej Bhumibol_father/Adulyadej Bhumibol10.jpeg
50,859,./datasets/in/Family_3/Adulyadej Bhumibol_father/Adulyadej Bhumibol1_0.jpg
51,859,./datasets/in/Family_3/Adulyadej Bhumibol_father/Adulyadej Bhumibol3.jpg
52,859,./datasets/in/Family_3/Adulyadej Bhumibol_father/Adulyadej Bhumibol5.jpg
53,859,./datasets/in/Family_3/Adulyadej Bhumibol_father/Adulyadej Bhumibol6.jpeg
54,859,./datasets/in/Family_3/Adulyadej Bhumibol_father/Adulyadej Bhumibol6.jpg
55,859,./datasets/in/Family_3/Adulyadej Bhumibol_father/Adulyadej Bhumibol7.jpg
59,201,./datasets/ibb/14-4.png
60,201,./datasets/ibb/14-5.png
61,615,./datasets/ibb/18-1.png
62,615,./datasets/ibb/18-2.png
64,615,./datasets/ibb/18-4.png
65,615,./datasets/ibb/18-5.png
66,615,./datasets/in/Family_3/Maha_son/Maha Vajiralongkorn12.jpg
67,615,./datasets/in/Family_3/Maha_son/Maha Vajiralongkorn14.jpg
68,615,./datasets/in/Family_3/Maha_son/Maha Vajiralongkorn15_1.jpg
69,615,./datasets/in/Family_3/Maha_son/Maha Vajiralongkorn4.jpg
70,615,./datasets/in/Family_3/Maha_son/Maha Vajiralongkorn6_0.jpg
71,615,./datasets/in/Family_3/Maha_son/Maha Vajiralongkorn8.jpg
72,615,./datasets/in/Family_3/Maha_son/Maha Vajiralongkorn9.jpg
73,615,./datasets/in/Family_3/Maha_son/Maha1.jpeg
74,164,./datasets/ibb/15-1.png
75,164,./datasets/ibb/15-2.png
76,164,./datasets/ibb/15-3.png
77,164,./datasets/ibb/15-4.png
79,142,./datasets/ibb/13-1.png
84,141,./datasets/ibb/11-1.png
89,478,./datasets/ibb/16-1.png
94,1022,./datasets/ibb/20-1.png
95,1022,./datasets/ibb/20-2.png
96,1022,./datasets/ibb/20-3.png
97,1022,./datasets/ibb/20-4.png
98,1022,./datasets/ibb/20-5.png
99,1022,./datasets/ibb/20-6.png
100,1022,./datasets/ibb/20-7.png
101,1022,./datasets/ibb/20-8.png
103,266,./datasets/ibb/22-2.png
104,266,./datasets/ibb/22-3.png
105,266,./datasets/ibb/22-4.png
106,266,./datasets/ibb/22-5.png
108,78,./datasets/ibb/24-1.png
109,78,./datasets/ibb/24-10.png
110,78,./datasets/ibb/24-11.png
111,78,./datasets/ibb/24-12.png
112,78,./datasets/ibb/24-13.png
113,78,./datasets/ibb/24-2.png
114,78,./datasets/ibb/24-3.png
115,78,./datasets/ibb/24-4.png
116,78,./datasets/ibb/24-5.png
117,78,./datasets/ibb/24-6.png
118,78,./datasets/ibb/24-7.png
119,78,./datasets/ibb/24-8.png
120,78,./datasets/ibb/24-9.png
121,447,./datasets/ibb/21-1.png
124,447,./datasets/ibb/21-3.png
130,447,./datasets/ibb/21-9.png
137,470,./datasets/ibb/23-7.png
138,470,./datasets/ibb/23-8.png
139,813,./datasets/ibb/19-1.png
140,813,./datasets/ibb/19-2.png
141,813,./datasets/ibb/19-3.png
142,813,./datasets/ibb/19-4.png
144,813,./datasets/ibb/19-6.png
145,813,./datasets/ibb/19-7.png
146,813,./datasets/ibb/19-8.png
147,888,./datasets/ibb/25-1.png
148,888,./datasets/ibb/25-2.png
149,888,./datasets/ibb/25-3.png
150,888,./datasets/ibb/25-4.png
151,888,./datasets/ibb/25-5.png
152,888,./datasets/ibb/25-6.png
158,481,./datasets/ibb/26-6.png
159,36,./datasets/ibb/27-1.png
167,25,./datasets/ibb/38-1.png
168,25,./datasets/ibb/38-2.png
169,25,./datasets/ibb/38-3.png
170,25,./datasets/ibb/38-4.png
171,25,./datasets/ibb/38-5.png
173,449,./datasets/ibb/36-2.png
175,449,./datasets/ibb/36-4.png
176,449,./datasets/ibb/36-5.png
177,26,./datasets/ibb/37-1.png
178,26,./datasets/ibb/37-2.png
179,26,./datasets/ibb/37-3.png
180,26,./datasets/ibb/37-4.png
