iid,pid,age,emotion
18,166,32,fear
22,166,28,neutral
23,143,25,sad
24,143,27,happy
26,143,24,neutral
27,143,43,neutral
28,143,51,happy
29,143,33,neutral
30,143,32,happy
31,143,36,happy
32,143,35,fear
33,143,46,happy
35,859,45,angry
36,859,44,surprise
37,859,36,neutral
40,859,38,fear
41,859,39,sad
45,859,31,neutral
46,859,46,neutral
48,859,29,neutral
50,859,31,sad
51,859,32,angry
53,859,38,neutral
54,859,34,neutral
55,859,32,happy
59,201,27,happy
60,201,26,happy
61,615,37,sad
62,615,30,neutral
64,615,32,fear
65,615,27,neutral
67,615,30,neutral
68,615,31,neutral
69,615,43,angry
70,615,29,neutral
71,615,35,angry
72,615,30,happy
74,164,39,happy
75,164,40,happy
76,164,32,happy
77,164,38,happy
94,1022,30,happy
95,1022,24,neutral
96,1022,31,happy
97,1022,23,happy
98,1022,36,happy
99,1022,30,neutral
100,1022,32,happy
101,1022,28,happy
103,266,23,sad
104,266,31,neutral
105,266,24,happy
106,266,26,neutral
108,78,28,neutral
109,78,33,neutral
110,78,29,neutral
111,78,27,happy
112,78,31,happy
113,78,32,sad
114,78,33,happy
115,78,32,happy
116,78,33,neutral
117,78,29,angry
119,78,32,sad
120,78,26,neutral
121,447,29,happy
124,447,24,neutral
130,447,25,neutral
137,470,26,neutral
139,813,30,happy
140,813,31,happy
141,813,27,happy
144,813,25,sad
145,813,24,neutral
146,813,24,happy
147,888,28,angry
148,888,28,neutral
149,888,24,happy
150,888,30,fear
151,888,30,neutral
152,888,28,neutral
190,6,48,neutral
192,487,26,angry
200,419,36,happy
202,578,22,fear
211,446,21,happy
256,948,33,happy
257,948,28,angry
261,849,31,happy
266,778,32,surprise
267,778,30,happy
268,778,31,neutral
269,778,31,happy
270,778,36,happy
273,249,34,sad
274,249,32,happy
276,286,33,happy
277,286,36,happy
278,286,31,happy
279,286,36,happy
280,286,32,happy
281,766,31,sad
283,766,46,neutral
284,766,41,neutral
285,766,41,neutral
291,804,28,angry
292,804,21,happy
293,804,23,neutral
294,804,27,happy
295,804,25,happy
301,652,38,happy
305,652,43,happy
306,335,30,happy
307,335,39,happy
308,335,40,happy
309,335,35,happy
310,335,29,happy
311,335,33,happy
312,335,36,happy
313,335,30,happy
315,335,31,neutral
321,800,23,happy
332,276,32,neutral
333,276,37,happy
334,276,30,neutral
335,276,32,happy
336,276,29,neutral
338,276,33,happy
339,276,32,happy
340,276,34,happy
341,276,33,happy
342,276,33,happy
343,276,35,happy
344,276,32,neutral
345,276,32,happy
346,276,37,happy
347,529,31,happy
348,529,31,happy
349,529,30,happy
350,529,32,sad
351,529,31,happy
352,529,30,neutral
353,529,31,happy
354,529,26,neutral
355,529,31,neutral
356,529,30,happy
357,529,31,neutral
358,529,29,fear
359,529,31,happy
360,529,31,neutral
361,529,32,neutral
363,529,29,angry
393,950,31,happy
397,950,28,neutral
398,950,30,happy
399,950,31,happy
400,950,32,happy
401,950,32,happy
405,172,28,neutral
406,172,25,neutral
407,172,28,happy
408,172,21,happy
409,172,22,happy
410,172,23,happy
411,172,25,happy
412,172,22,happy
413,172,27,happy
417,171,25,happy
418,171,21,happy
419,171,28,happy
420,171,22,happy
421,171,24,happy
422,171,27,happy
423,171,25,sad
424,171,26,neutral
426,311,30,happy
429,311,30,happy
