path,watermark,multiple_faces,low_resolution,comment,hat,sunglasses,glasses,occlusion,garbage
./datasets/in/Family_1/Brooklyn_Beckham_son/Brooklyn_Beckham1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/Brooklyn_Beckham_son/Brooklyn_Beckham10_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/Brooklyn_Beckham_son/Brooklyn_Beckham11.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/Brooklyn_Beckham_son/Brooklyn_Beckham2.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/Brooklyn_Beckham_son/Brooklyn_Beckham4.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/Brooklyn_Beckham_son/Brooklyn_Beckham6.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/Brooklyn_Beckham_son/Brooklyn_Beckham8.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/David_Beckham_father/David_Beckham1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/David_Beckham_father/David_Beckham10.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/David_Beckham_father/David_Beckham12_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/David_Beckham_father/David_Beckham14_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/David_Beckham_father/David_Beckham4.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/David_Beckham_father/David_Beckham5.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/David_Beckham_father/David_Beckham7.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/David_Beckham_father/David_Beckham8.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/Victoria_Beckham_mother/Victoria_Beckham12.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/Victoria_Beckham_mother/Victoria_Beckham13.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/Victoria_Beckham_mother/Victoria_Beckham1_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/Victoria_Beckham_mother/Victoria_Beckham4.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/Victoria_Beckham_mother/Victoria_Beckham5.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/Victoria_Beckham_mother/Victoria_Beckham6.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/Victoria_Beckham_mother/Victoria_Beckham7.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_1/Victoria_Beckham_mother/Victoria_Beckham8.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Arnault Bernard_father/Arnault Bernard2.jpeg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Arnault Bernard_father/Arnault Bernard3.jpeg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Arnault Bernard_father/Arnault Bernard4_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Arnault Bernard_father/Arnault Bernard8.jpeg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Arnault Bernard_father/Bernard Arnault19.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Arnault Bernard_father/Bernard Arnault5.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Arnault Bernard_father/Bernard Arnault6.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Arnault Bernard_father/Bernard Arnault9.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Arnault Bernard_father/Helene Mercier-Arnault6_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Arnault Bernard_father/Helene Mercier-Arnault7_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Frederic Arnault_son/Frederic Arnault12_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Frederic Arnault_son/Frederic Arnault1_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Frederic Arnault_son/Frederic Arnault1_2.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Frederic Arnault_son/Frederic Arnault2.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Frederic Arnault_son/Frederic Arnault3_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Frederic Arnault_son/Frederic Arnault6_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Frederic Arnault_son/Frederic Arnault7_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Frederic Arnault_son/Frederic Arnault8_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Frederic Arnault_son/Frederic Arnault9_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Helene_mother/Helene Mercier-Arnault6_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Helene_mother/Helene Mercier-Arnault7_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Helene_mother/Helene Mercier-Arnault8_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Helene_mother/Helene1.jpeg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Helene_mother/Helene2.jpeg,False,False,False,,False,False,False,False,False
./datasets/in/Family_10/Helene_mother/Helene9.jpeg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Neetu Singh_mother/Neetu Singh11 (1)_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Neetu Singh_mother/Neetu Singh11_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Neetu Singh_mother/Neetu Singh12_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Neetu Singh_mother/Neetu Singh13_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Neetu Singh_mother/Neetu Singh14_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Neetu Singh_mother/Neetu Singh15_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Neetu Singh_mother/Neetu Singh16_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Neetu Singh_mother/Neetu Singh17_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Neetu Singh_mother/Neetu Singh18_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Neetu Singh_mother/Neetu Singh3.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Neetu Singh_mother/Neetu Singh6.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Neetu Singh_mother/Neetu Singh7_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Ranbir kapoor_son/Ranbir kapoor1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Ranbir kapoor_son/Ranbir kapoor13.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Ranbir kapoor_son/Ranbir kapoor17.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Ranbir kapoor_son/Ranbir kapoor2.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Ranbir kapoor_son/Ranbir kapoor20.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Ranbir kapoor_son/Ranbir kapoor3.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Ranbir kapoor_son/Ranbir kapoor4_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Ranbir kapoor_son/Ranbir kapoor5.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Ranbir kapoor_son/Ranbir kapoor7.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Rishi Kapoor_father/Rishi Kapoor1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Rishi Kapoor_father/Rishi Kapoor10.jpeg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Rishi Kapoor_father/Rishi Kapoor2.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Rishi Kapoor_father/Rishi Kapoor3.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Rishi Kapoor_father/Rishi Kapoor4.jpeg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Rishi Kapoor_father/Rishi Kapoor4.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Rishi Kapoor_father/Rishi Kapoor5.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Rishi Kapoor_father/Rishi Kapoor6.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Rishi Kapoor_father/Rishi Kapoor7.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Rishi Kapoor_father/Rishi Kapoor7_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Rishi Kapoor_father/Rishi Kapoor8_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_103/Rishi Kapoor_father/Rishi Kapoor9_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Farhan Akhtar_son/Farhan Akhtar1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Farhan Akhtar_son/Farhan Akhtar13.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Farhan Akhtar_son/Farhan Akhtar14.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Farhan Akhtar_son/Farhan Akhtar19.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Farhan Akhtar_son/Farhan Akhtar2.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Farhan Akhtar_son/Farhan Akhtar20.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Farhan Akhtar_son/Farhan Akhtar4.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Farhan Akhtar_son/Farhan Akhtar7.jpeg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Farhan Akhtar_son/Farhan Akhtar8.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Honey Irani_mother/Honey Irani1_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Honey Irani_mother/Honey Irani2_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Honey Irani_mother/Honey Irani3.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Honey Irani_mother/Honey Irani3_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Javed Akhtar_father/Javed Akhtar12.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Javed Akhtar_father/Javed Akhtar1_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Javed Akhtar_father/Javed Akhtar2.jpeg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Javed Akhtar_father/Javed Akhtar2.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Javed Akhtar_father/Javed Akhtar5.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Javed Akhtar_father/Javed Akhtar7.jpeg,False,False,False,,False,False,False,False,False
./datasets/in/Family_104/Javed Akhtar_father/Javed Akhtar8_2.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_106/David Dhawan_father/David1_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_106/David Dhawan_father/David2_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_106/David Dhawan_father/David3_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_106/David Dhawan_father/Karuna2_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_106/David Dhawan_father/Karuna3_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_106/Karuna Dhawan_mother/Karuna Dhawan9.jpeg,False,False,False,,False,False,False,False,False
./datasets/in/Family_106/Karuna Dhawan_mother/Karuna1_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_106/Karuna Dhawan_mother/Karuna2_1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_106/Karuna Dhawan_mother/Karuna3_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_106/Karuna Dhawan_mother/Karuna4_0.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_106/Varun Dhawan_son/Varun Dhawan1.jpg,False,False,False,,False,False,False,False,False
./datasets/in/Family_106/Varun Dhawan_son/Varun Dhawan10.jpg,False,False,False,,False,False,False,False,False
